model_name,attribute,pipeline_time
model_0,env,154.86284649500158
model_1,env,417.9726952669953
model_2,env,144.19637568799953
model_3,env,422.6322201360017
model_4,env,143.85040932500124
model_5,env,421.20763082499616
model_6,env,139.9917391880008
model_7,env,421.7298950179975
model_8,env,144.8942082509966
model_9,env,439.3153729170008
model_10,env,140.24347689700517
model_11,env,426.4030837190003
model_12,env,150.5122496460026
model_13,env,425.8383592559985
model_14,env,152.8379577500018
model_15,env,430.2117040699959
model_16,env,140.54878798300342
model_17,env,474.4942806170002
model_18,env,145.24848963800468
model_19,env,447.85008375300094
model_20,env,140.41357535200223
model_21,env,448.29006619499705
model_22,env,150.93570433199784
model_23,env,446.74773081199965
model_0,cos,159.41644142700534
model_1,cos,447.1102637360018
model_2,cos,145.1491596979904
model_3,cos,429.9484725929942
model_4,cos,143.4968106419983
model_5,cos,436.7685845829983
model_6,cos,146.74857165401045
model_7,cos,433.2230879250128
model_8,cos,148.5613843859901
model_9,cos,450.6796214629867
model_10,cos,145.30151064500387
model_11,cos,443.99685441899055
model_12,cos,152.54968928199378
model_13,cos,446.92216447800456
model_14,cos,149.960967616993
model_15,cos,464.86860578900087
model_16,cos,153.88373608898837
model_17,cos,511.4724647440016
model_18,cos,166.38130362100492
model_19,cos,493.0458297790028
model_20,cos,167.56166532999487
model_21,cos,487.06405698698654
model_22,cos,153.51819238699682
model_23,cos,472.0997532869951
model_0,freq,140.32260623598995
model_1,freq,436.21184989099856
model_2,freq,149.69344612500572
model_3,freq,445.81636835000245
model_4,freq,148.3556543309969
model_5,freq,445.47373668399814
model_6,freq,148.7566503900016
model_7,freq,438.4869696700043
model_8,freq,157.13764107300085
model_9,freq,453.83837589700124
model_10,freq,143.2475212989957
model_11,freq,436.7415985260013
model_12,freq,143.00856334500713
model_13,freq,444.0235294140002
model_14,freq,144.66056954899977
model_15,freq,444.56648937299906
model_16,freq,153.43516579200514
model_17,freq,490.81718835000356
model_18,freq,157.10152854499756
model_19,freq,481.18713145700167
model_20,freq,152.28630957000132
model_21,freq,483.8237732310081
model_22,freq,154.92438226500235
model_23,freq,487.88758625900664
